name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000003,-0.000003,0,0.0562,0.0012,-0.0012,0,18.271,1.009,-1.009,0,1.63,0.09,-0.09,0,200.2329,22.2481,-22.2481,0,0.63,0.07,-0.07,0,Mass,0,,,0,,,,,1840,50,-50,0,0,F6,6430,130,-130,0,1.98,0.09,-0.09,0,1.55,0.1,-0.1,0,0.11,0.14,-0.14,0,[Fe/H],4.03,0.03,-0.03,0,21h02m07.67s,315.5319489,+07d03m22.61s,7.0562793,466.433,19.928,-18.384,11.618,0.034,-0.034,10.248,0.023,-0.023,11.4559,0.000914,-0.000914,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-12 b,466,0.211 Jupiters,12.665,2009,https://exoplanets.nasa.gov/exoplanet-catalog/1226/hat-p-12-b/,Gas Giant,2009,0.211 Jupiters,0.959 x Jupiter,0.0384 AU,3.2 days,0,,,,,,,,,,0.000003,-0.000003,0,0.037,0.001,-0.001,0,11.545,0.448,-0.448,0,1.03,0.04,-0.04,0,425.8922,25.4264,-25.4264,0,1.34,0.08,-0.08,0,Mass,0,,,0,332.56,,,0,1160,30,-30,0,0,K3,4920,80,-80,0,0.86,0.03,-0.03,0,0.84,0.07,-0.07,0,0.19,0.13,-0.13,0,[Fe/H],4.3,0.2,-0.2,0,23h51m23.14s,357.846434,-70d09m10.30s,-70.1528621,149.942,0.519,-0.516,11.98,0.022,-0.022,9.712,0.023,-0.023,11.6236,0.000313,-0.000313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0000016,-0.0000016,0,0.0348,0.00036,-0.00036,0,16.376,0.863,-0.863,0,1.461,0.077,-0.077,0,255.85315,21.61244,-21.61244,0,0.805,0.068,-0.068,0,Mass,0,,,0,1622.16,,,0,1871,56,-56,0,0,F7,6280,120,-120,0,1.34,0.06,-0.06,0,1.19,0.04,-0.04,0,0,0.14,-0.14,0,[Fe/H],4.26,0.03,-0.03,0,16h26m46.09s,246.6920395,+51d02m28.08s,51.0411328,575.889,6.527,-6.385,12.951,0.057,-0.057,11.519,0.018,-0.018,12.8183,0.000296,-0.000296,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-15 b,628,1.94 Jupiters,12.41,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1229/hat-p-15-b/,Gas Giant,2010,1.94 Jupiters,1.06 x Jupiter,0.0965 AU,10.9 days,0.19,,,,,,,,,,0.000002,-0.000002,0,0.04211,0.00035,-0.00035,0,17.901,0.863,-0.863,0,1.597,0.077,-0.077,0,467.2101,92.1707,-92.1707,0,1.47,0.29,-0.29,0,Mass,0,,,0,2530.89,,,0,1942,38,-38,0,0,F4,6700,100,-100,0,1.52,0.04,-0.04,0,1.33,0.03,-0.03,0,0.07,0.17,-0.17,0,[Fe/H],4.2,0.02,-0.02,0,00h37m50.10s,9.4587443,+51d17m19.60s,51.288778,370.284,7.938,-7.617,10.966,0.007,-0.007,9.942,0.016,-0.016,10.978,0.000447,-0.000447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000004,-0.000004,0,0.055,0.001,-0.001,0,17.71,1.457,-1.457,0,1.58,0.13,-0.13,0,158.915,41.3179,-41.3179,0,0.5,0.13,-0.13,0,Mass,0,,,0,1364.09,,,0,1604,25,-22,0,0,F8,6170,80,-80,0,1.48,0.12,-0.12,0,1.67,0.64,-0.64,0,0.26,,,0,[Fe/H],4.27,0.07,-0.07,0,20h55m07.98s,313.7832393,-34d08m08.70s,-34.1357512,211.211,2.513,-2.454,10.051,0.006,-0.006,8.874,0.024,-0.024,10.0285,0.000365,-0.000365,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
